Sample_name	Sex	Biosample_ID	Population_code	Population_name	Superpopulation_code	Superpopulation_name	Population_elastic_ID	Data_collections
HG00367	female	SAME124540	FIN	Finnish	EUR	European Ancestry	FIN	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis
HG00379	female	SAME124746	FIN	Finnish	EUR	European Ancestry	FIN	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis
HG00381	female	SAME123030	FIN	Finnish	EUR	European Ancestry	FIN	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis
HG01253	male	SAME125284	CLM	Colombian	AMR	American Ancestry	CLM	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG01260	female	SAME122815	CLM	Colombian	AMR	American Ancestry	CLM	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,MAGE RNA-seq,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG01272	female	SAME122996	CLM	Colombian	AMR	American Ancestry	CLM	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG01277	male	SAME123000	CLM	Colombian	AMR	American Ancestry	CLM	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,MAGE RNA-seq,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19652	male	SAME124978	MXL	Mexican Ancestry	AMR	American Ancestry	MXL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG01284	female	SAME1839191	CLM	Colombian	AMR	American Ancestry	CLM	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,MAGE RNA-seq,1000 Genomes phase 3 release
NA19657	female	SAME123129	MXL	Mexican Ancestry	AMR	American Ancestry	MXL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,MAGE RNA-seq,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19664	male	SAME122955	MXL	Mexican Ancestry	AMR	American Ancestry	MXL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19669	female	SAME123903	MXL	Mexican Ancestry	AMR	American Ancestry	MXL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG01342	female	SAME124856	CLM	Colombian	AMR	American Ancestry	CLM	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,MAGE RNA-seq,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19676	male	SAME122790	MXL	Mexican Ancestry	AMR	American Ancestry	MXL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,MAGE RNA-seq,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG01354	female	SAME124680	CLM	Colombian	AMR	American Ancestry	CLM	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG01359	male	SAME124687	CLM	Colombian	AMR	American Ancestry	CLM	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19703	male	SAME124230	ASW	African Ancestry SW	AFR	African Ancestry	ASW	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,Human Pangenome Reference Consortium, Phase 2,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19722	female	SAME124696	MXL	Mexican Ancestry	AMR	American Ancestry	MXL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19734	female	SAME124873	MXL	Mexican Ancestry	AMR	American Ancestry	MXL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19741	male	SAME124718	MXL	Mexican Ancestry	AMR	American Ancestry	MXL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,MAGE RNA-seq,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19746	female	SAME123502	MXL	Mexican Ancestry	AMR	American Ancestry	MXL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19758	female	SAME123706	MXL	Mexican Ancestry	AMR	American Ancestry	MXL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,MAGE RNA-seq,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG01880	female	SAME1839109	ACB	African Caribbean	AFR	African Ancestry	ACB	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,1000 Genomes phase 3 release
HG01885	male	SAME122844	ACB	African Caribbean	AFR	African Ancestry	ACB	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG01912	male	SAME1839779	ACB	African Caribbean	AFR	African Ancestry	ACB	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,MAGE RNA-seq,1000 Genomes phase 3 release
HG02143	male	SAME1839628	ACB	African Caribbean	AFR	African Ancestry	ACB	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,1000 Genomes phase 3 release
HG02256	female	SAME1839332	ACB	African Caribbean	AFR	African Ancestry	ACB	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02282	female	SAME1840177	ACB	African Caribbean	AFR	African Ancestry	ACB	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 3,MAGE RNA-seq,1000 Genomes phase 3 release
HG01366	female	SAME125265	CLM	Colombian	AMR	American Ancestry	CLM	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG01378	female	SAME124076	CLM	Colombian	AMR	American Ancestry	CLM	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG01431	male	SAME1839260	CLM	Colombian	AMR	American Ancestry	CLM	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG01443	male	SAME1839032	CLM	Colombian	AMR	American Ancestry	CLM	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG01455	male	SAME123429	CLM	Colombian	AMR	American Ancestry	CLM	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG01462	female	SAME123539	CLM	Colombian	AMR	American Ancestry	CLM	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG01474	female	SAME1840189	CLM	Colombian	AMR	American Ancestry	CLM	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,1000 Genomes phase 3 release
HG01479	male	SAME1840251	CLM	Colombian	AMR	American Ancestry	CLM	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,MAGE RNA-seq,1000 Genomes phase 3 release
HG01486	female	SAME1840048	CLM	Colombian	AMR	American Ancestry	CLM	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG01498	female	SAME124142	CLM	Colombian	AMR	American Ancestry	CLM	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19759	male	SAME123707	MXL	Mexican Ancestry	AMR	American Ancestry	MXL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,MAGE RNA-seq,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19761	female	SAME123894	MXL	Mexican Ancestry	AMR	American Ancestry	MXL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,MAGE RNA-seq,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG01550	male	SAME124009	CLM	Colombian	AMR	American Ancestry	CLM	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19773	female	SAME124067	MXL	Mexican Ancestry	AMR	American Ancestry	MXL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,MAGE RNA-seq,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19780	male	SAME123147	MXL	Mexican Ancestry	AMR	American Ancestry	MXL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,MAGE RNA-seq,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19785	female	SAME123150	MXL	Mexican Ancestry	AMR	American Ancestry	MXL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,MAGE RNA-seq,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19792	male	SAME123327	MXL	Mexican Ancestry	AMR	American Ancestry	MXL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
NA19901	female	SAME125049	ASW	African Ancestry SW	AFR	African Ancestry	ASW	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,MAGE RNA-seq,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19913	female	SAME124432	ASW	African Ancestry SW	AFR	African Ancestry	ASW	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,MAGE RNA-seq,1000 Genomes phase 3 release
NA19920	male	SAME124713	ASW	African Ancestry SW	AFR	African Ancestry	ASW	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19982	male	SAME124293	ASW	African Ancestry SW	AFR	African Ancestry	ASW	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,MAGE RNA-seq,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA20282	female	SAME124583	ASW	African Ancestry SW	AFR	African Ancestry	ASW	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Pangenome Reference Consortium, Phase 2,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA20287	female	SAME124580	ASW	African Ancestry SW	AFR	African Ancestry	ASW	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,MAGE RNA-seq,Human Pangenome Reference Consortium, Phase 2,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA20294	female	SAME124776	ASW	African Ancestry SW	AFR	African Ancestry	ASW	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,MAGE RNA-seq,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA20299	female	SAME124381	ASW	African Ancestry SW	AFR	African Ancestry	ASW	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA20314	female	SAME125304	ASW	African Ancestry SW	AFR	African Ancestry	ASW	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,MAGE RNA-seq,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA20321	female	SAME123996	ASW	African Ancestry SW	AFR	African Ancestry	ASW	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
NA20340	male	SAME124400	ASW	African Ancestry SW	AFR	African Ancestry	ASW	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA20357	female	SAME124599	ASW	African Ancestry SW	AFR	African Ancestry	ASW	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG01985	female	SAME1840099	ACB	African Caribbean	AFR	African Ancestry	ACB	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,1000 Genomes phase 3 release
NA19095	female	SAME123170	YRI	Yoruba	AFR	African Ancestry	YRI	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,MAGE RNA-seq,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis
NA19108	female	SAME125378	YRI	Yoruba	AFR	African Ancestry	YRI	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis
HG02010	female	SAME123444	ACB	African Caribbean	AFR	African Ancestry	ACB	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,1000 Genomes phase 3 release
NA19141	male	SAME124607	YRI	Yoruba	AFR	African Ancestry	YRI	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis
HG02053	male	SAME1839543	ACB	African Caribbean	AFR	African Ancestry	ACB	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,MAGE RNA-seq,1000 Genomes phase 3 release
NA19146	male	SAME125080	YRI	Yoruba	AFR	African Ancestry	YRI	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis
NA19153	male	SAME123019	YRI	Yoruba	AFR	African Ancestry	YRI	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis
NA19160	male	SAME123758	YRI	Yoruba	AFR	African Ancestry	YRI	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis
NA19172	female	SAME124420	YRI	Yoruba	AFR	African Ancestry	YRI	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis
NA19184	male	SAME123859	YRI	Yoruba	AFR	African Ancestry	YRI	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis
NA19189	male	SAME123869	YRI	Yoruba	AFR	African Ancestry	YRI	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis
HG02111	female	SAME1839922	ACB	African Caribbean	AFR	African Ancestry	ACB	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,1000 Genomes phase 3 release
NA19204	female	SAME122985	YRI	Yoruba	AFR	African Ancestry	YRI	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis
NA19209	female	SAME122994	YRI	Yoruba	AFR	African Ancestry	YRI	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis
NA19223	male	SAME125223	YRI	Yoruba	AFR	African Ancestry	YRI	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis
NA19235	female	SAME125002	YRI	Yoruba	AFR	African Ancestry	YRI	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis
NA19247	female	SAME123691	YRI	Yoruba	AFR	African Ancestry	YRI	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis
HG02255	male	SAME1839337	ACB	African Caribbean	AFR	African Ancestry	ACB	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02281	male	SAME1840094	ACB	African Caribbean	AFR	African Ancestry	ACB	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,MAGE RNA-seq,1000 Genomes phase 3 release
HG01113	female	SAME123484	CLM	Colombian	AMR	American Ancestry	CLM	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,MAGE RNA-seq,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG01125	female	SAME124054	CLM	Colombian	AMR	American Ancestry	CLM	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,MAGE RNA-seq,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG01137	female	SAME123888	CLM	Colombian	AMR	American Ancestry	CLM	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,MAGE RNA-seq,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG01149	female	SAME124425	CLM	Colombian	AMR	American Ancestry	CLM	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG01257	female	SAME125288	CLM	Colombian	AMR	American Ancestry	CLM	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG01269	female	SAME1839257	CLM	Colombian	AMR	American Ancestry	CLM	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,1000 Genomes phase 3 release
HG01271	male	SAME122998	CLM	Colombian	AMR	American Ancestry	CLM	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,MAGE RNA-seq,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG01341	male	SAME124859	CLM	Colombian	AMR	American Ancestry	CLM	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,MAGE RNA-seq,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG01353	male	SAME124685	CLM	Colombian	AMR	American Ancestry	CLM	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19658	male	SAME123132	MXL	Mexican Ancestry	AMR	American Ancestry	MXL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG01360	female	SAME122855	CLM	Colombian	AMR	American Ancestry	CLM	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19684	female	SAME122941	MXL	Mexican Ancestry	AMR	American Ancestry	MXL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19704	female	SAME124236	ASW	African Ancestry SW	AFR	African Ancestry	ASW	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,MAGE RNA-seq,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19711	male	SAME124446	ASW	African Ancestry SW	AFR	African Ancestry	ASW	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,MAGE RNA-seq,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG02496	male	SAME1839688	ACB	African Caribbean	AFR	African Ancestry	ACB	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,1000 Genomes phase 3 release
NA19716	female	SAME124450	MXL	Mexican Ancestry	AMR	American Ancestry	MXL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG02511	female	SAME1839150	ACB	African Caribbean	AFR	African Ancestry	ACB	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,MAGE RNA-seq,1000 Genomes phase 3 release
NA19723	male	SAME124695	MXL	Mexican Ancestry	AMR	American Ancestry	MXL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,MAGE RNA-seq,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19728	female	SAME124702	MXL	Mexican Ancestry	AMR	American Ancestry	MXL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG02554	male	SAME1840075	ACB	African Caribbean	AFR	African Ancestry	ACB	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 3,1KG_ONT_VIENNA,1000 Genomes phase 3 release
NA19735	male	SAME124874	MXL	Mexican Ancestry	AMR	American Ancestry	MXL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19747	male	SAME123501	MXL	Mexican Ancestry	AMR	American Ancestry	MXL	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG01889	female	SAME122851	ACB	African Caribbean	AFR	African Ancestry	ACB	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release
HG02580	female	SAME1839366	ACB	African Caribbean	AFR	African Ancestry	ACB	1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1KG_ONT_VIENNA,MAGE RNA-seq,1000 Genomes phase 3 release
